Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,163,2583,11,11,0,0,2746,3557,0,0,22,23,608,0,278,0,0
Node1,167,369,366,423,2476,3292,536,925,2476,3253,20,21,904,0,172,0,0
Node2,103,423,111,167,316,525,526,903,316,472,17,19,22,0,248,0,0
Node3,107,424,144,197,337,564,531,897,337,493,13,16,16,0,242,0,0
Node4,92,416,140,203,353,585,508,868,353,525,9,13,24,0,232,0,0
Node5,134,369,170,255,306,514,503,838,306,456,7,10,10,0,232,0,0
Node6,63,473,58,80,368,572,536,843,368,530,2,6,6,0,236,0,0
Node7,45,521,68,88,470,714,566,861,470,685,0,0,6,0,242,0,0
Node8,0,0,33,50,566,849,0,0,566,809,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
