Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,184,4515,7,7,0,0,4699,5963,0,0,65,72,1108,0,5,0,0
Node1,64,120,205,230,5185,6680,184,322,5185,6654,51,68,1704,0,28,0,0
Node2,51,131,55,89,121,190,182,322,121,180,35,65,0,0,46,0,0
Node3,32,150,38,66,136,247,182,315,136,228,26,62,0,0,45,0,0
Node4,69,409,54,94,127,233,478,707,127,218,0,0,16,0,87,0,0
Node5,49,105,121,137,327,552,154,233,327,544,24,62,9,0,24,0,0
Node6,25,358,65,74,114,189,383,561,114,182,0,0,72,0,21,0,0
Node7,22,119,56,75,348,525,141,201,348,511,16,48,19,0,23,0,0
Node8,0,0,11,19,147,231,0,0,147,229,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
