Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,11445,276,0,0,0,0,11721,11721,0,0,18095,18095,0,0,206,0,0
Node1,8087,191,145,145,18095,18095,8278,8278,18095,18095,16340,16340,1744,0,11,0,0
Node2,1136,58,85,85,16340,16340,1194,1194,16340,16340,11724,11724,4614,0,2,0,0
Node3,479,13,7,7,11740,11740,492,492,11740,11740,6139,6139,5587,0,1,0,0
Node4,356,4,0,0,6142,6142,360,360,6142,6142,2236,2236,3901,0,2,0,0
Node5,687,10,2,2,2236,2236,697,697,2236,2236,997,997,1239,0,0,0,0
Node6,7,5,2,2,999,999,12,12,999,999,713,713,284,0,0,0,0
Node7,4,0,0,0,714,714,4,4,714,714,655,655,58,0,0,0,0
Node8,0,0,0,0,655,655,0,0,655,655,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
