Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,7,84,0,0,0,0,91,139,0,0,1732,1824,0,0,36,0,0
Node1,343,564,9,9,1736,1831,907,1119,1736,1830,126,343,8760,0,126,0,0
Node2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node3,132,353,130,194,660,898,485,600,660,877,130,368,642,0,252,0,0
Node4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node5,190,304,146,176,394,640,494,526,394,632,71,208,1338,0,180,0,0
Node6,37,424,133,145,356,494,461,461,356,493,56,164,864,0,174,0,0
Node7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node8,0,0,66,66,538,646,0,0,538,646,0,0,0,0,0,0,0
Node9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Node17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
